"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1710","Create article with check Screenshot","chromium","2026-03-17","passed","2026-03-17","","conduit.spec.ts","",""
"","1017","Hybrid Login via Playwright API Request","chromium","2026-03-17","passed","2026-03-17","","fastLoginWithoutAxios.spec.ts","",""
"","2016","Create, update annd delete article with custom title","chromium","2026-03-17","passed","2026-03-17","","conduit.spec.ts","",""
"","1045","Hibrid API + UI Test (Fast Login)","chromium","2026-03-17","passed","2026-03-17","","fastLoginFromAxios.spec.ts","",""
"","1516","Create article with defoult title","chromium","2026-03-17","passed","2026-03-17","","conduit.spec.ts","",""
